Station,Date,TMaxF,TMinF,PrecipIn
Hungry Horse Dam,11/19/2016,34,29,0
Hungry Horse Dam,11/20/2016,37,31,0
Hungry Horse Dam,11/21/2016,42,35,0.66
Hungry Horse Dam,11/22/2016,45,34,0
Hungry Horse Dam,11/23/2016,41,29,0
Hungry Horse Dam,11/24/2016,38,32,0.2
Hungry Horse Dam,11/25/2016,42,34,0
Hungry Horse Dam,11/26/2016,42,35,0.02
Hungry Horse Dam,11/27/2016,41,29,0.01
Hungry Horse Dam,11/28/2016,40,30,0.08
Hungry Horse Dam,11/29/2016,39,28,0
Hungry Horse Dam,11/30/2016,34,27,0.01
Hungry Horse Dam,12/1/2016,31,28,0.23
Hungry Horse Dam,12/2/2016,34,31,0
Hungry Horse Dam,12/3/2016,35,30,0.15
Hungry Horse Dam,12/4/2016,39,32,0
Hungry Horse Dam,12/5/2016,38,21,0.81
Hungry Horse Dam,12/6/2016,25,10,0
Hungry Horse Dam,12/7/2016,13,-1,0.01
Hungry Horse Dam,12/8/2016,7,1,0
Hungry Horse Dam,12/9/2016,7,1,0
Hungry Horse Dam,12/10/2016,9,1,0.25
Hungry Horse Dam,12/11/2016,19,9,0.21
Hungry Horse Dam,12/12/2016,27,12,0.15
Hungry Horse Dam,12/13/2016,20,12,0
Hungry Horse Dam,12/14/2016,16,-1,0
Hungry Horse Dam,12/15/2016,12,4,0.03
Hungry Horse Dam,12/16/2016,16,6,0.09
Hungry Horse Dam,12/17/2016,8,-10,0
Hungry Horse Dam,12/18/2016,7,-9,0.04
Hungry Horse Dam,12/19/2016,28,-1,0.07
Hungry Horse Dam,12/20/2016,35,22,0.16
Hungry Horse Dam,12/21/2016,41,29,0.08
Hungry Horse Dam,12/22/2016,36,19,0
Hungry Horse Dam,12/23/2016,27,17,0
Hungry Horse Dam,12/24/2016,28,25,0.25
Hungry Horse Dam,12/25/2016,27,11,0.2
Hungry Horse Dam,12/26/2016,21,10,0.02
Hungry Horse Dam,12/27/2016,29,18,0.1
Hungry Horse Dam,12/28/2016,33,26,0.1
Hungry Horse Dam,12/29/2016,32,19,0
Hungry Horse Dam,12/30/2016,33,20,0.3
Hungry Horse Dam,12/31/2016,33,20,0
